	Gene	Chr	Gene Start	Gene End	nSNPs	TopSNP	TopSNP Pos	TopSNP P-Value
0	A1BG	chr19	58861959	58864495	41	rs11668660	58873584.0	0.1231
1	A1CF	chr10	52595833	52645435	105	rs149129397	52591486.0	0.03754
2	A2M	chr12	9267753	9268613	46	rs56256934	9265319.0	0.03785
3	A2ML1	chr12	9020538	9039597	204	rs142115174	9044945.0	0.003994
4	A3GALT2	chr1	33772366	33786699	107	rs149266061	33771312.0	0.005271
5	A4GALT	chr22	43091176	43117304	261	rs8141448	43101397.0	0.02561
6	A4GNT	chr3	137842559	137851229	54	rs34925684	137854052.0	0.06176
7	AAAS	chr12	53709335	53715344	42	rs17751196	53718446.0	0.005136
8	AACS	chr12	125620335	125621286	66	rs11058047	125627332.0	0.01791
9	AADAC	chr3	151531860	151542648	183	rs182836460	151538513.0	0.007053
10	AADACL2	chr3	151451714	151475554	178	rs114534637	151482890.0	0.00654
11	AADACL3	chr1	12776145	12785963	98	rs11807609	12773207.0	0.005449
12	AADACL4	chr1	12704565	12727097	116	rs2257151	12717435.0	0.1277
13	AADAT	chr4	170994400	171012850	119	rs79215953	171019136.0	0.01139
14	AAED1	chr9	99408271	99417254	18	rs141194782	99406902.0	0.06605
15	AAGAB	chr15	67529055	67546992	66	rs7173826	67528374.0	0.08436
16	AAK1	chr2	69870224	69870977	73	rs139881809	69860307.0	0.1596
17	AAMDC	chr11	77552183	77583398	109	rs72939436	77587104.0	0.08343
18	AAMP	chr2	219132102	219134868	43	rs72947598	219140385.0	0.0349
19	AANAT	chr17	74464691	74465769	63	rs9894765	74456426.0	0.003748
20	AAR2	chr20	34824406	34844855	54	rs117595516	34833853.0	0.06924
21	AARD	chr8	117950784	117955161	61	rs967045	117947258.0	0.005577
22	AARS	chr16	70296375	70299418	25	rs66627085	70308824.0	0.04415
23	AARS2	chr6	44268308	44269157	84	rs116720208	44278595.0	0.001825
24	AARSD1	chr17	41112958	41116483	30	rs62076371	41111030.0	0.01184
25	AASDH	chr4	57248589	57250465	84	rs13126005	57245059.0	0.01725
26	AASDHPPT	chr11	105962193	105969426	47	rs77766306	105978934.0	0.07023
27	AASS	chr7	121717889	121722926	51	rs3213699	121725961.0	0.03181
28	AATK	chr17	79108167	79139877	294	chr17_79125089_I	79125089.0	0.001138
29	ABAT	chr16	8859641	8862703	146	rs7196462	8871457.0	0.01329
30	ABCA1	chr9	107623718	107690420	488	rs151158579	107649669.0	0.01139
31	ABCA2	chr9	139918264	139923259	64	rs10781531	139908265.0	0.158
